family_id	input_family	language	dialect	source	form	gloss	notation	position_from_right	outcome	status	exclusion	record_id	analysis
722	álpa	Sh	Sh	CDIAL	āpŭ	little, few	historical-dictionary		unmarked	unscorable	no-single-location-mark	f_yptg2rfpgy474	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Gupis	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_bjvl6tohvevfo	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	punl	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_akqlnvqpqatwc	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	gil	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_oqi2ed7cb7y24	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Haramosh	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_ziboncqg7jiie	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Bagrot	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_tj5khhoo7lcxu	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Bunji	backstrom1992	ˈʌpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_qn3ltqdbfl4va	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Rondu	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_e2vh2nhtrroj2	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	DashkinAstor	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_nruvxscbfuxsu	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Astor	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_tm5ty4ho5dykg	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	KachuraJel	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_32lmnjzx5qr4m	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Satpara	backstrom1992	ˈɑpʰo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_47wk3jgari6ny	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	ChilasKhinar	backstrom1992	ˈɑɸo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_6camss26if5b6	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	ChilasJelil	backstrom1992	ˈɑɸo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_qz6nedsrmssuu	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Darel	backstrom1992	ˈɑpʰo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_h2nf7yrsvji2u	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Tangir	backstrom1992	ˈɑpʰo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_vl6ccwbdrlutk	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Sazin	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_tdw2nezzo5jpg	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Harban	backstrom1992	ˈɑpo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_7dtfabepaal6y	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	Jalkot	backstrom1992	ˈɑfo̱	few	survey-phonetic	2	stress-marked@-2	penultimate		f_j5ewj2ylywo74	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
722	álpa	Sh	pales	backstrom1992	ˈɑfo	few	survey-phonetic	2	stress-marked@-2	penultimate		f_lt4rgjrvitzto	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.
